N;Pregunta;Opcion_A;Opcion_B;Opcion_C;Opción_D;Respuesta_Correcta;Explicacion;Dominio_ECO;Oficial_PMI;Enfoque;Mindset _Clave
301;Un patrocinador solicita agregar un miembro al equipo del proyecto en la fase de ejecución. ¿Cuál es el PRINCIPAL riesgo de esta acción?;Aumento del presupuesto del proyecto;El nuevo miembro requiere tiempo de incorporación, lo que puede reducir temporalmente la productividad del equipo;Conflictos de comunicación con los interesados;Pérdida de la línea base del cronograma;B;Agregar personas a un proyecto retrasado (Ley de Brooks) puede empeorarlo inicialmente: el nuevo miembro necesita tiempo de incorporación y los miembros actuales deben dedicar tiempo a capacitarlo.;Procesos;Tarea 7: Gestionar calidad;Predictivo;PMI Mindset: Las métricas de calidad se definen en el Plan de Gestión de Calidad. Son la referencia para el Control de Calidad. Definirlas antes de ejecutar.
302;¿Qué es la 'Calidad de la Gestión del Proyecto' vs. la 'Calidad del Producto'?;Son equivalentes: ambas miden el cumplimiento de requisitos;"La calidad del producto mide si el entregable cumple requisitos técnicos; la calidad de la gestión mide si los procesos del proyecto fueron eficientes y efectivos";La calidad de la gestión solo importa en proyectos predictivos;"La calidad del producto es responsabilidad del equipo; la gestión es del director";B;Son dimensiones distintas de calidad. Un proyecto puede entregar un producto de alta calidad con mala gestión (o viceversa). El PMBOK aborda ambas: calidad del producto y calidad de los procesos.;Procesos;Tarea 9: Comprometer interesados;Predictivo;PMI Mindset: Un interesado ignorado puede convertirse en opositor. La gestión proactiva de interesados previene la mayoría de las crisis del proyecto.
303;En un entorno híbrido, ¿cómo se gestiona la incertidumbre de requisitos en el componente ágil mientras el componente predictivo tiene requisitos fijos?;Aplicar el mismo enfoque a ambos componentes;Usar iteraciones cortas con retroalimentación frecuente en el componente ágil mientras se controlan rigurosamente los cambios en el componente predictivo;Congelar los requisitos del componente ágil para alinearlo con el predictivo;Eliminar el componente predictivo y hacerlo todo ágil;B;En entornos híbridos, cada componente mantiene su enfoque adecuado. El componente ágil se beneficia de la adaptabilidad para requisitos inciertos mientras el predictivo mantiene el control formal de cambios.;Entorno;Tarea 2: Evaluar beneficios;Híbrido;PMI Mindset PMBOK 7: El pensamiento sistémico conecta causas y efectos en el proyecto. Una acción en un área impacta otras. Anticipa efectos secundarios.
304;¿Cuál de los siguientes es un ejemplo de 'riesgo positivo' (oportunidad) en un proyecto?;La posibilidad de que un proveedor clave quiebre;La posibilidad de que nuevas regulaciones aumenten los costos;La posibilidad de que tecnología emergente reduzca costos en un 30%;La posibilidad de que un miembro clave del equipo renuncie;C;Las oportunidades son riesgos positivos: eventos inciertos que, si ocurren, tienen impacto favorable. Deben gestionarse activamente para aumentar la probabilidad de que ocurran.;Personas;Tarea 11: Apoyar equipos virtuales;Híbrido;PMI Mindset: Equipos distribuidos requieren más estructura y comunicación intencional. Define horas de solapamiento y canales claros de escalación.
305;¿Qué herramienta de comunicación es MÁS efectiva para equipos ágiles distribuidos globalmente?;Informes escritos semanales;Videoconferencias regulares combinadas con herramientas colaborativas digitales en tiempo real;Correo electrónico detallado;Reuniones presenciales trimestrales;B;Las videoconferencias regulares mantienen la cercanía del equipo, y las herramientas colaborativas (tableros virtuales, chats, gestión de tareas) replican el espacio de trabajo compartido para equipos distribuidos.;Procesos;Tarea 10: Gestionar cambios;Predictivo;PMI Mindset: El impacto de un cambio debe evaluarse en las tres restricciones: alcance, costo Y cronograma. Nunca evalúes solo una dimensión.
306;¿Qué es el 'Valor de Negocio' en el contexto del PMBOK 7?;El precio de venta del producto del proyecto;El valor neto cuantificable que un proyecto o sus entregables generan para la organización y sus interesados;El retorno de inversión calculado antes del inicio del proyecto;El presupuesto aprobado por el patrocinador;B;En PMBOK 7, el valor de negocio es el beneficio neto tangible e intangible que el proyecto genera. Puede incluir beneficios monetarios, mejoras de procesos, satisfacción del cliente, posicionamiento estratégico, etc.;Personas;Tarea 6: Generar entendimiento compartido;Híbrido;PMI Mindset: El entendimiento compartido previene retrabajo. Invertir tiempo en alinear expectativas al inicio ahorra tiempo y costo al final.
307;En la gestión de contratos, ¿qué es una 'cláusula de incentivo' y qué propósito tiene?;Un descuento por pago anticipado;Una condición contractual que motiva al vendedor a superar el desempeño base mediante recompensas por mejor desempeño en costo, cronograma o calidad;Una penalidad por incumplimiento del contrato;Una cláusula que permite al comprador cancelar el contrato anticipadamente;B;Las cláusulas de incentivo alinean los intereses del vendedor con los del comprador. El vendedor recibe bonificaciones por superar objetivos de costo, tiempo o calidad acordados.;Procesos;Tarea 3: Gestionar riesgos;Predictivo;PMI Mindset: El apetito al riesgo de la organización guía las respuestas a riesgos. El PM debe conocerlo y alinearse con las políticas organizacionales.
308;¿Qué tipo de poder usa un director de proyecto cuando influye gracias a su reconocida experiencia técnica en el área del proyecto?;Poder formal o legítimo;Poder de recompensa;Poder experto;Poder referente;C;El poder experto proviene del conocimiento, las habilidades y la experiencia reconocidos. Es especialmente efectivo cuando el equipo valora la competencia técnica del director.;Entorno;Tarea 1: Gestionar cumplimiento;Predictivo;PMI Mindset: La auditoría de cumplimiento verifica que el proyecto sigue los estándares y regulaciones aplicables. Es preventiva, no punitiva.
309;Durante la ejecución de un proyecto ágil, el equipo de desarrollo debate constantemente sobre qué tecnología usar, lo que consume tiempo de sprint. ¿Qué debe hacer el Scrum Master?;Decidir la tecnología por el equipo;Facilitar una sesión de consenso técnico fuera del sprint para resolver el debate de manera estructurada;Escalar al Product Owner para que imponga una decisión;Dejar que el debate continúe sin intervenir;B;El Scrum Master facilita la resolución de impedimentos. Un debate técnico recurrente es un impedimento que afecta la productividad y debe resolverse mediante facilitación estructurada.;Procesos;Tarea 14: Gestionar el entorno;Híbrido;PMI Mindset: El entorno del proyecto incluye factores internos y externos que el PM debe monitorear. Un cambio en el entorno puede requerir re-planificar.
310;¿Qué significa 'Definition of Ready' (DoR) en Scrum?;La lista de criterios que un incremento debe cumplir para ser liberado;El conjunto de criterios que un elemento del backlog debe cumplir antes de ser seleccionado para un sprint;La condición que el Product Owner debe cumplir para aprobar el sprint;Los requisitos técnicos mínimos del entorno de desarrollo;B;La Definition of Ready define cuándo un elemento del Product Backlog está suficientemente detallado, estimado y priorizado para ser seleccionado en el Sprint Planning sin generar incertidumbre.;Personas;Tarea 4: Empoderar miembros del equipo;Ágil;"PMI Mindset: El Product Owner prioriza el backlog; el equipo estima. Nunca el PM o el cliente dictan las estimaciones. Son propiedad del equipo."
311;En la gestión de proyectos, ¿cuál es el propósito del 'Análisis de Supuestos y Restricciones'?;Identificar los entregables del proyecto;Identificar y validar los supuestos que sustentan el plan y las restricciones que limitan las opciones del equipo, para evaluar su impacto como posibles riesgos;Definir el presupuesto del proyecto;Establecer el cronograma maestro del proyecto;B;Los supuestos no validados representan riesgos potenciales. El análisis de supuestos y restricciones identifica estos riesgos para incluirlos en el registro de riesgos y planificar respuestas.;Procesos;Tarea 6: Gestionar cronograma;Predictivo;PMI Mindset: El Método de la Cadena Crítica (CCPM) incorpora buffers para proteger la fecha de entrega. Alternativa al CPM en entornos con recursos limitados.
312;Un proyecto tiene múltiples proveedores. Uno de ellos entrega consistentemente con retrasos que afectan otras actividades. ¿Cuál es la acción más apropiada a largo plazo?;Tolerar los retrasos para mantener la relación con el proveedor;Revisar el contrato, aplicar cláusulas de penalidad si aplica, y evaluar si se requiere un plan de contingencia o un proveedor alternativo;Eliminar todas las actividades dependientes del proveedor;Absolver al proveedor de sus obligaciones contractuales;B;La gestión de adquisiciones requiere hacer cumplir los términos contractuales. Si el proveedor incumple sistemáticamente, se deben aplicar las cláusulas correspondientes y evaluar alternativas.;Entorno;Tarea 3: Evaluar y gestionar riesgos;Híbrido;PMI Mindset: Resiliencia del equipo = capacidad de absorber cambios y recuperarse. El PM la fortalece con transparencia, confianza y mejora continua.
313;¿Qué describe el principio de PMBOK 7 'Demostrar comportamientos de liderazgo'?;Que el director del proyecto debe tener autoridad formal sobre todos los recursos;Que el liderazgo efectivo puede provenir de cualquier miembro del equipo según la situación, y no es exclusivo del director del proyecto;Que el director debe reportar diariamente al patrocinador;Que el equipo debe seguir estrictamente las instrucciones del director;B;El PMBOK 7 promueve el liderazgo distribuido: cualquier persona puede demostrar liderazgo según sus fortalezas y la situación. No se limita al título formal de 'director de proyecto'.;Procesos;Tarea 8: Gestionar comunicaciones;Predictivo;PMI Mindset: La comunicación informal es igualmente importante. El PM debe estar presente y accesible. La comunicación pasiva (solo informes) es insuficiente.
314;¿Cuál es la diferencia entre 'Verificar el Alcance' y 'Controlar el Alcance'?;Son el mismo proceso con diferente nombre;"Verificar (Validar) el alcance busca la aceptación formal del cliente; Controlar el alcance monitorea el estado del alcance y gestiona cambios";"Verificar el alcance es interno; Controlar es externo";"Controlar el alcance es para proyectos ágiles; Verificar para predictivos";B;Validar el Alcance (antes 'Verificar') obtiene aceptación formal del cliente. Controlar el Alcance monitorea el progreso, compara con la línea base e identifica y gestiona cambios no autorizados.;Personas;Tarea 9: Comprometer interesados;Predictivo;PMI Mindset: Comprometer ≠ informar. Comprometer = involucrar activamente en decisiones relevantes. Los interesados comprometidos son defensores del proyecto.
315;En la gestión ágil, ¿qué es un 'Release Plan'?;El plan de cierre formal del proyecto;Un plan de alto nivel que proyecta cuándo se lanzarán versiones del producto al mercado, basado en la velocidad del equipo y las prioridades del backlog;El plan de gestión de versiones de software del equipo técnico;El cronograma detallado de las actividades del proyecto;B;El Release Plan es la planificación de alto nivel de cuándo se entregarán conjuntos de funcionalidades al cliente. Permite al negocio planificar lanzamientos basados en la capacidad proyectada del equipo.;Procesos;Tarea 17: Gestionar el cierre;Predictivo;PMI Mindset: El cierre de contratos ocurre ANTES del cierre administrativo del proyecto. Primero cierra lo externo, luego lo interno.
